Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Dear John,"$80,014,842","$34,969,824","$114,984,666",Screen Gems,"$30,468,614","$25,000,000","Feb 5, 2010",PG-13,1 hr 48 min,"Drama
    
        Mystery
    
        Romance
    
        Thriller
    
        War"
Eat Pray Love,"$80,574,010","$124,020,006","$204,594,016",Sony Pictures Entertainment (SPE),"$23,104,523","$60,000,000","Aug 13, 2010",PG-13,2 hr 13 min,"Biography
    
        Drama
    
        Romance"
Avatar,"$749,766,139","$1,993,811,448","$2,743,577,587",Twentieth Century Fox,"$77,025,481","$237,000,000","Dec 18, 2009",PG-13,2 hr 42 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi"
The Circle,"$20,497,844","$20,158,555","$40,656,399",STX Entertainment,"$9,034,148","$18,000,000","Apr 28, 2017",PG-13,1 hr 50 min,"Drama
    
        Sci-Fi
    
        Thriller"
Little Fockers,"$148,438,600","$162,211,985","$310,650,585",Universal Pictures,"$30,833,665","$100,000,000","Dec 22, 2010",PG-13,1 hr 38 min,"Comedy
    
        Romance"
Paranormal Activity 2,"$84,752,907","$92,759,125","$177,512,032",Paramount Pictures,"$40,678,424","$3,000,000","Oct 22, 2010",R,1 hr 31 min,"Horror
    
        Mystery"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950","$311,299,267","$415,686,217",Twentieth Century Fox,"$24,005,069","$155,000,000","Dec 10, 2010",PG,1 hr 53 min,"Adventure
    
        Family
    
        Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"$88,768,303","$137,728,906","$226,497,209",Twentieth Century Fox,"$31,236,067","$95,000,000","Feb 12, 2010",PG,1 hr 58 min,"Adventure
    
        Family
    
        Fantasy"
Jack and Jill,"$74,158,157","$75,515,631","$149,673,788",Sony Pictures Entertainment (SPE),"$25,003,575","$79,000,000","Nov 11, 2011",PG,1 hr 31 min,Comedy
Ender's Game,"$61,737,191","$63,806,833","$125,544,024",Lionsgate,"$27,017,351","$110,000,000","Nov 1, 2013",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Sci-Fi"
21 Bridges,"$28,539,757","$21,400,000","$49,939,757",STX Entertainment,"$9,261,268","$33,000,000","Nov 22, 2019",R,1 hr 39 min,"Action
    
        Thriller"
Unbroken,"$115,637,895","$45,821,402","$161,459,297",Universal Pictures,"$30,621,445","$65,000,000","Dec 25, 2014",PG-13,2 hr 17 min,"Action
    
        Biography
    
        Drama
    
        Sport
    
        War"
The Host,"$26,627,201","$36,738,658","$63,365,859",Open Road Films (II),"$10,600,112","$40,000,000","Mar 29, 2013",PG-13,2 hr 5 min,"Action
    
        Adventure
    
        Drama
    
        Romance
    
        Sci-Fi
    
        Thriller"
Argo,"$136,025,503","$96,300,000","$232,325,503",Warner Bros.,"$19,458,109","$44,500,000","Oct 12, 2012",R,2 hr,"Biography
    
        Drama
    
        Thriller"
Under the Skin,"$2,614,251","$3,121,712","$5,735,963",A24,"$133,154","$13,300,000","Apr 4, 2014",R,1 hr 48 min,"Drama
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller"
Cloudy with a Chance of Meatballs 2,"$119,793,567","$154,532,382","$274,325,949",Sony Pictures Entertainment (SPE),"$34,017,930","$78,000,000","Sep 27, 2013",PG,1 hr 35 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi"
Veronica Mars,"$3,322,127","$163,256","$3,485,383",Warner Bros.,"$1,988,351","$6,000,000","Mar 14, 2014",PG-13,1 hr 47 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
Thor: The Dark World,"$206,362,140","$438,421,000","$644,783,140",Walt Disney Studios Motion Pictures,"$85,737,841","$170,000,000","Nov 8, 2013",PG-13,1 hr 52 min,"Action
    
        Adventure
    
        Fantasy"
Whiplash,"$13,092,000","$35,890,041","$48,982,041",Sony Pictures Classics,"$135,388","$3,300,000","Oct 10, 2014",R,1 hr 46 min,"Drama
    
        Music"
Legends of Oz: Dorothy's Return,"$8,462,347","$13,293,071","$21,755,418",Clarius Entertainment,"$3,747,780","$70,000,000","May 9, 2014",PG,1 hr 28 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Musical"
Moms' Night Out,"$10,429,707","$107,249","$10,536,956",TriStar Pictures,"$4,311,083","$5,000,000","May 9, 2014",PG,1 hr 38 min,Comedy
The Martian,"$228,433,663","$401,728,227","$630,161,890",Twentieth Century Fox,"$54,308,575","$108,000,000","Oct 2, 2015",PG-13,2 hr 24 min,"Adventure
    
        Drama
    
        Sci-Fi"
Rules Don't Apply,"$3,652,206","$233,136","$3,885,342",Twentieth Century Fox,"$1,589,625","$25,000,000","Nov 23, 2016",PG-13,2 hr 7 min,"Comedy
    
        Drama
    
        Romance"
Anomalisa,"$3,759,286","$1,900,000","$5,659,286",Paramount Pictures,"$135,222","$8,000,000","Dec 30, 2015",R,1 hr 30 min,"Animation
    
        Comedy
    
        Drama
    
        Romance"
Morgan,"$3,915,251","$4,894,156","$8,809,407",Twentieth Century Fox,"$2,012,709","$8,000,000","Sep 2, 2016",R,1 hr 32 min,"Action
    
        Horror
    
        Sci-Fi
    
        Thriller"
The Drop,"$10,724,389","$7,933,992","$18,658,381",Fox Searchlight Pictures,"$4,104,552","$12,600,000","Sep 12, 2014",R,1 hr 46 min,"Crime
    
        Drama
    
        Thriller"
Winter's Tale,"$12,600,231","$18,200,000","$30,800,231",Warner Bros.,"$7,297,694","$60,000,000","Feb 14, 2014",PG-13,1 hr 58 min,"Drama
    
        Fantasy
    
        Mystery
    
        Romance"
Walking with Dinosaurs 3D,"$36,076,121","$90,470,397","$126,546,518",Twentieth Century Fox,"$7,091,938","$80,000,000","Dec 20, 2013",PG,1 hr 27 min,"Adventure
    
        Animation
    
        Comedy
    
        Family"
Grudge Match,"$29,807,260","$15,100,000","$44,907,260",Warner Bros.,"$7,021,993","$40,000,000","Dec 25, 2013",PG-13,1 hr 53 min,"Comedy
    
        Drama
    
        Sport"
Labor Day,"$13,371,528","$6,904,284","$20,275,812",Paramount Pictures,"$5,175,282","$18,000,000","Jan 31, 2014",PG-13,1 hr 51 min,"Drama
    
        Romance
    
        Thriller"
Left Behind,"$14,019,924","$13,385,972","$27,405,896",Freestyle Releasing,"$6,300,147","$16,000,000","Oct 3, 2014",PG-13,1 hr 50 min,"Action
    
        Fantasy
    
        Sci-Fi
    
        Thriller"
47 Ronin,"$38,362,475","$113,421,364","$151,783,839",Universal Pictures,"$9,910,310","$175,000,000","Dec 25, 2013",PG-13,2 hr 8 min,"Action
    
        Drama
    
        Fantasy"
Beyond the Lights,"$14,618,727",,"$14,618,727",Relativity Media,"$6,200,284","$7,000,000","Nov 14, 2014",PG-13,1 hr 56 min,"Drama
    
        Music
    
        Romance"
Devil's Due,"$15,821,461","$21,100,099","$36,921,560",Twentieth Century Fox,"$8,308,220","$7,000,000","Jan 17, 2014",R,1 hr 29 min,"Horror
    
        Mystery"
A Haunted House 2,"$17,329,486","$8,029,230","$25,358,716",Open Road Films (II),"$8,843,875","$4,000,000","Apr 18, 2014",R,1 hr 26 min,"Comedy
    
        Fantasy
    
        Horror"
"I, Frankenstein","$19,075,290","$57,725,889","$76,801,179",Lionsgate,"$8,610,441","$65,000,000","Jan 24, 2014",PG-13,1 hr 32 min,"Action
    
        Fantasy
    
        Sci-Fi"
The Legend of Hercules,"$18,848,538","$42,430,914","$61,279,452",Lionsgate,"$8,868,318","$70,000,000","Jan 10, 2014",PG-13,1 hr 39 min,"Action
    
        Adventure
    
        Fantasy"
The Gambler,"$33,680,992","$5,600,000","$39,280,992",Paramount Pictures,"$9,129,999","$25,000,000","Dec 25, 2014",R,1 hr 51 min,"Crime
    
        Drama
    
        Thriller"
Brick Mansions,"$20,396,829","$51,019,901","$71,416,730",Relativity Media,"$9,516,855","$28,000,000","Apr 25, 2014",PG-13,1 hr 30 min,"Action
    
        Crime
    
        Thriller"
Gravity,"$274,092,705","$449,100,000","$723,192,705",Warner Bros.,"$55,785,112","$100,000,000","Oct 4, 2013",PG-13,1 hr 31 min,"Action
    
        Drama
    
        Sci-Fi
    
        Thriller"
Pompeii,"$23,219,748","$94,611,883","$117,831,631",TriStar Pictures,"$10,340,823","$100,000,000","Feb 21, 2014",PG-13,1 hr 45 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy
    
        History
    
        Romance"
Transcendence,"$23,022,309","$80,016,949","$103,039,258",Warner Bros.,"$10,886,386","$100,000,000","Apr 18, 2014",PG-13,1 hr 59 min,"Action
    
        Drama
    
        Sci-Fi
    
        Thriller"
Endless Love,"$23,438,250","$11,279,923","$34,718,173",Universal Pictures,"$13,307,125","$20,000,000","Feb 14, 2014",PG-13,1 hr 44 min,"Drama
    
        Romance"
That Awkward Moment,"$26,068,955","$19,571,188","$45,640,143",Focus Features,"$8,742,109","$8,000,000","Jan 31, 2014",R,1 hr 34 min,"Comedy
    
        Romance"
A Walk Among the Tombstones,"$26,307,600","$32,526,784","$58,834,384",Universal Pictures,"$12,758,780","$28,000,000","Sep 19, 2014",R,1 hr 54 min,"Action
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller"
Oculus,"$27,695,246","$16,751,041","$44,446,287",Relativity Media,"$12,005,402","$5,000,000","Apr 11, 2014",R,1 hr 44 min,"Horror
    
        Mystery"
The Best of Me,"$26,766,213","$11,843,455","$38,609,668",Relativity Media,"$10,003,827","$26,000,000","Oct 17, 2014",PG-13,1 hr 58 min,"Drama
    
        Romance"
The Secret Life of Walter Mitty,"$58,236,838","$129,896,484","$188,133,322",Twentieth Century Fox,"$12,765,508","$90,000,000","Dec 25, 2013",PG,1 hr 54 min,"Adventure
    
        Comedy
    
        Drama
    
        Fantasy
    
        Romance"
When the Game Stands Tall,"$30,127,963","$10,791","$30,138,754",TriStar Pictures,"$8,381,509","$15,000,000","Aug 22, 2014",PG,1 hr 55 min,"Biography
    
        Drama
    
        Family
    
        Sport"
Deliver Us from Evil,"$30,577,122","$57,360,693","$87,937,815",Screen Gems,"$9,740,471","$30,000,000","Jul 2, 2014",R,1 hr 58 min,"Crime
    
        Drama
    
        Fantasy
    
        Horror
    
        Mystery
    
        Thriller"
3 Days to Kill,"$30,697,999","$22,562,231","$53,260,230",Relativity Media,"$12,242,218","$28,000,000","Feb 21, 2014",PG-13,1 hr 57 min,"Action
    
        Drama
    
        Thriller"
The Hunger Games: Catching Fire,"$424,668,047","$440,343,699","$865,011,746",Lionsgate,"$158,074,286","$130,000,000","Nov 22, 2013",PG-13,2 hr 26 min,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi
    
        Thriller"
Incarnate,"$4,799,774","$4,237,284","$9,037,058",BH Tilt,"$2,534,884","$5,000,000","Dec 2, 2016",PG-13,1 hr 27 min,"Horror
    
        Thriller"
Bleed for This,"$5,083,906","$1,614,773","$6,698,679",Open Road Films (II),"$2,366,810","$6,000,000","Nov 18, 2016",R,1 hr 57 min,"Biography
    
        Drama
    
        Sport"
Nightcrawler,"$32,381,217","$15,017,775","$47,398,992",Open Road Films (II),"$10,441,000","$8,500,000","Oct 31, 2014",R,1 hr 57 min,"Crime
    
        Drama
    
        Thriller"
Creed,"$109,767,581","$63,800,000","$173,567,581",Warner Bros.,"$29,632,823","$35,000,000","Nov 25, 2015",PG-13,2 hr 13 min,"Action
    
        Drama
    
        Sport"
Pride and Prejudice and Zombies,"$10,938,134","$5,519,360","$16,457,494",Screen Gems,"$5,324,240","$28,000,000","Feb 5, 2016",PG-13,1 hr 48 min,"Action
    
        Comedy
    
        Fantasy
    
        Horror
    
        Romance"
The Hunger Games: Mockingjay - Part 2,"$281,723,902","$371,704,359","$653,428,261",Lionsgate,"$102,665,981","$160,000,000","Nov 20, 2015",PG-13,2 hr 17 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller"
The Light Between Oceans,"$12,545,979","$13,429,642","$25,975,621",Walt Disney Studios Motion Pictures,"$4,765,838","$20,000,000","Sep 2, 2016",PG-13,2 hr 13 min,"Drama
    
        Romance"
Point Break,"$28,782,481","$104,936,230","$133,718,711",Warner Bros.,"$9,800,252","$105,000,000","Dec 25, 2015",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Crime
    
        Sport
    
        Thriller"
The Edge of Seventeen,"$14,431,633","$4,938,387","$19,370,020",STX Entertainment,"$4,754,215","$9,000,000","Nov 18, 2016",R,1 hr 44 min,"Comedy
    
        Drama"
Keeping Up with the Joneses,"$14,904,426","$15,014,319","$29,918,745",Twentieth Century Fox,"$5,461,475","$40,000,000","Oct 21, 2016",PG-13,1 hr 45 min,"Action
    
        Comedy"
The Birth of a Nation,"$15,861,566","$917,646","$16,779,212",Fox Searchlight Pictures,"$7,004,254","$8,500,000","Oct 7, 2016",R,2 hr,"Biography
    
        Drama
    
        History"
Eddie the Eagle,"$15,789,389","$30,363,411","$46,152,800",Twentieth Century Fox,"$6,084,682","$23,000,000","Feb 26, 2016",PG-13,1 hr 46 min,"Adventure
    
        Biography
    
        Comedy
    
        Drama
    
        History
    
        Sport"
Bad Santa 2,"$17,782,178","$6,297,090","$24,079,268",Broad Green Pictures,"$6,176,680","$26,000,000","Nov 23, 2016",R,1 hr 32 min,"Comedy
    
        Crime
    
        Drama"
Concussion,"$34,542,474","$14,081,098","$48,623,572",Sony Pictures Entertainment (SPE),"$10,513,749","$35,000,000","Dec 25, 2015",PG-13,2 hr 3 min,"Biography
    
        Drama
    
        Sport"
Keanu,"$20,591,853","$59,480","$20,651,333",Warner Bros.,"$9,453,224","$15,000,000","Apr 29, 2016",R,1 hr 40 min,"Action
    
        Comedy
    
        Crime"
Middle School: The Worst Years of My Life,"$20,007,149","$3,308,990","$23,316,139",Lionsgate,"$6,878,437","$8,500,000","Oct 7, 2016",PG,1 hr 32 min,"Animation
    
        Comedy
    
        Family"
Nine Lives,"$19,700,032","$38,114,413","$57,814,445",EuropaCorp,"$6,249,915","$30,000,000","Aug 5, 2016",PG,1 hr 27 min,"Comedy
    
        Drama
    
        Family
    
        Fantasy"
Blair Witch,"$20,777,061","$24,396,093","$45,173,154",Lionsgate,"$9,576,057","$5,000,000","Sep 16, 2016",R,1 hr 29 min,"Horror
    
        Mystery
    
        Thriller"
Free State of Jones,"$20,810,036","$4,225,914","$25,035,950",STX Entertainment,"$7,572,206","$50,000,000","Jun 24, 2016",R,2 hr 19 min,"Action
    
        Biography
    
        Drama
    
        History
    
        War
    
        Western"
Kevin Hart: What Now?,"$23,591,043",,"$23,591,043",Universal Pictures,"$11,767,210","$9,900,000","Oct 14, 2016",R,1 hr 36 min,"Comedy
    
        Documentary"
Whiskey Tango Foxtrot,"$23,083,334","$1,888,805","$24,972,139",Paramount Pictures,"$7,450,275","$35,000,000","Mar 4, 2016",R,1 hr 52 min,"Biography
    
        Comedy
    
        Drama
    
        War"
Bridget Jones's Baby,"$24,252,420","$187,700,000","$211,952,420",Universal Pictures,"$8,571,785","$35,000,000","Sep 16, 2016",R,2 hr 3 min,"Comedy
    
        Drama
    
        Romance"
Snowden,"$21,587,519","$15,769,697","$37,357,216",Open Road Films (II),"$8,000,058","$40,000,000","Sep 16, 2016",R,2 hr 14 min,"Biography
    
        Crime
    
        Drama
    
        Thriller"
The Witch,"$25,138,705","$15,285,240","$40,423,945",A24,"$8,800,230","$4,000,000","Feb 19, 2016",R,1 hr 32 min,"Drama
    
        Fantasy
    
        History
    
        Horror
    
        Mystery
    
        Thriller"
Collateral Beauty,"$31,016,021","$57,512,259","$88,528,280",Warner Bros.,"$7,102,085","$36,000,000","Dec 16, 2016",PG-13,1 hr 37 min,"Drama
    
        Romance"
Ben-Hur,"$26,410,477","$67,650,834","$94,061,311",Paramount Pictures,"$11,203,815","$100,000,000","Aug 19, 2016",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Drama"
The Forest,"$26,594,261","$13,117,739","$39,712,000",Focus Features,"$12,741,176","$10,000,000","Jan 8, 2016",PG-13,1 hr 33 min,"Horror
    
        Mystery
    
        Thriller"
Florence Foster Jenkins,"$27,383,770","$21,519,183","$48,902,953",Paramount Pictures,"$6,601,313","$29,000,000","Aug 12, 2016",PG-13,1 hr 51 min,"Biography
    
        Comedy
    
        Drama
    
        Music"
When the Bough Breaks,"$29,747,603","$910,784","$30,658,387",Screen Gems,"$14,202,323","$10,000,000","Sep 9, 2016",PG-13,1 hr 47 min,"Drama
    
        Thriller"
Joy,"$56,451,232","$44,682,827","$101,134,059",Twentieth Century Fox,"$17,015,168","$60,000,000","Dec 25, 2015",PG-13,2 hr 4 min,"Biography
    
        Drama"
"Hail, Caesar!","$30,498,085","$33,149,571","$63,647,656",Universal Pictures,"$11,355,225","$22,000,000","Feb 5, 2016",PG-13,1 hr 46 min,"Comedy
    
        Drama
    
        Mystery"
Paranormal Activity: The Marked Ones,"$32,462,372","$58,432,590","$90,894,962",Paramount Pictures,"$18,343,611","$5,000,000","Jan 3, 2014",R,1 hr 24 min,"Horror
    
        Mystery"
This Is Where I Leave You,"$34,296,320","$7,000,000","$41,296,320",Warner Bros.,"$11,558,149","$19,800,000","Sep 19, 2014",R,1 hr 43 min,"Comedy
    
        Drama"
Million Dollar Arm,"$36,457,627","$2,025,828","$38,483,455",Walt Disney Studios Motion Pictures,"$10,515,659","$25,000,000","May 16, 2014",PG,2 hr 4 min,"Biography
    
        Drama
    
        Sport"
Anchorman 2: The Legend Continues,"$125,168,368","$46,296,308","$171,464,676",Paramount Pictures,"$26,232,425","$50,000,000","Dec 18, 2013",PG-13,1 hr 59 min,Comedy
Sex Tape,"$38,543,473","$87,526,036","$126,069,509",Sony Pictures Entertainment (SPE),"$14,608,152","$40,000,000","Jul 18, 2014",R,1 hr 34 min,"Comedy
    
        Romance"
Earth to Echo,"$38,934,842","$6,746,220","$45,681,062",Relativity Media,"$8,364,658","$13,000,000","Jul 2, 2014",PG,1 hr 31 min,"Adventure
    
        Family
    
        Sci-Fi"
Dolphin Tale 2,"$42,024,533","$15,800,000","$57,824,533",Warner Bros.,"$15,873,397","$36,000,000","Sep 12, 2014",PG,1 hr 47 min,"Drama
    
        Family"
A Million Ways to Die in the West,"$43,139,300","$44,050,456","$87,189,756",Universal Pictures,"$16,797,385","$40,000,000","May 30, 2014",R,1 hr 56 min,"Comedy
    
        Western"
John Wick,"$43,037,835","$42,975,221","$86,013,056",Lionsgate,"$14,415,922","$20,000,000","Oct 24, 2014",R,1 hr 41 min,"Action
    
        Crime
    
        Thriller"
Need for Speed,"$43,577,636","$159,700,000","$203,277,636",Walt Disney Studios Motion Pictures,"$17,844,939","$66,000,000","Mar 14, 2014",PG-13,2 hr 12 min,"Action
    
        Crime
    
        Thriller"
Blended,"$46,294,610","$81,700,000","$127,994,610",Warner Bros.,"$14,284,031","$40,000,000","May 23, 2014",PG-13,1 hr 57 min,"Comedy
    
        Romance"
The Judge,"$47,119,388","$37,300,000","$84,419,388",Warner Bros.,"$13,116,226","$50,000,000","Oct 10, 2014",R,2 hr 21 min,"Crime
    
        Drama"
The Giver,"$45,090,374","$21,890,082","$66,980,456",The Weinstein Company,"$12,305,016","$25,000,000","Aug 15, 2014",PG-13,1 hr 37 min,"Drama
    
        Romance
    
        Sci-Fi
    
        Thriller"
Into the Storm,"$47,602,194","$113,900,000","$161,502,194",Warner Bros.,"$17,346,427","$50,000,000","Aug 8, 2014",PG-13,1 hr 29 min,"Action
    
        Adventure
    
        Drama
    
        Thriller"
About Last Night,"$48,637,684","$1,808,176","$50,445,860",Screen Gems,"$25,649,011","$12,500,000","Feb 14, 2014",R,1 hr 40 min,"Comedy
    
        Romance"
If I Stay,"$50,474,843","$27,800,000","$78,274,843",Warner Bros.,"$15,679,190","$11,000,000","Aug 22, 2014",PG-13,1 hr 47 min,"Drama
    
        Fantasy
    
        Music
    
        Romance
    
        Sci-Fi"
Jersey Boys,"$47,047,013","$20,600,000","$67,647,013",Warner Bros.,"$13,319,371","$40,000,000","Jun 20, 2014",R,2 hr 14 min,"Biography
    
        Drama
    
        Music"
The Book of Life,"$50,151,543","$49,632,013","$99,783,556",Twentieth Century Fox,"$17,005,218","$50,000,000","Oct 17, 2014",PG,1 hr 35 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical
    
        Romance"
Muppets Most Wanted,"$51,183,113","$29,200,000","$80,383,113",Walt Disney Studios Motion Pictures,"$17,005,126","$50,000,000","Mar 21, 2014",PG,1 hr 47 min,"Adventure
    
        Comedy
    
        Crime
    
        Family
    
        Musical
    
        Mystery"
Jack Ryan: Shadow Recruit,"$50,577,412","$84,926,336","$135,503,748",Paramount Pictures,"$15,451,981","$60,000,000","Jan 17, 2014",PG-13,1 hr 45 min,"Action
    
        Drama
    
        Thriller"
Ouija,"$50,856,010","$52,734,261","$103,590,271",Universal Pictures,"$19,875,995","$5,000,000","Oct 24, 2014",PG-13,1 hr 29 min,"Horror
    
        Mystery
    
        Thriller"
No Good Deed,"$52,543,632","$1,779,578","$54,323,210",Screen Gems,"$24,250,283","$13,200,000","Sep 12, 2014",PG-13,1 hr 24 min,Thriller
Horrible Bosses 2,"$54,445,357","$53,200,000","$107,645,357",Warner Bros.,"$15,457,418","$42,000,000","Nov 26, 2014",R,1 hr 48 min,"Comedy
    
        Crime"
The Boxtrolls,"$50,837,305","$57,418,465","$108,255,770",Focus Features,"$17,275,239","$60,000,000","Sep 26, 2014",PG,1 hr 36 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
The Hundred-Foot Journey,"$54,240,821","$35,273,632","$89,514,453",Walt Disney Studios Motion Pictures,"$10,979,290","$22,000,000","Aug 8, 2014",PG,2 hr 2 min,"Comedy
    
        Drama"
Annie,"$85,911,262","$50,942,244","$136,853,506",Sony Pictures Entertainment (SPE),"$15,861,939","$65,000,000","Dec 19, 2014",PG,1 hr 58 min,"Comedy
    
        Drama
    
        Family
    
        Musical"
Exodus: Gods and Kings,"$65,014,513","$203,161,118","$268,175,631",Twentieth Century Fox,"$24,115,934","$140,000,000","Dec 12, 2014",PG-13,2 hr 30 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy"
RoboCop,"$58,607,007","$184,081,958","$242,688,965",Sony Pictures Entertainment (SPE),"$21,681,430","$100,000,000","Feb 12, 2014",PG-13,1 hr 57 min,"Action
    
        Crime
    
        Sci-Fi
    
        Thriller"
Dracula Untold,"$56,280,355","$160,843,925","$217,124,280",Universal Pictures,"$23,514,615","$70,000,000","Oct 10, 2014",PG-13,1 hr 32 min,"Action
    
        Drama
    
        Fantasy
    
        Horror"
Planes: Fire & Rescue,"$59,165,787","$87,800,000","$146,965,787",Walt Disney Studios Motion Pictures,"$17,509,407","$50,000,000","Jul 18, 2014",PG,1 hr 23 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sport"
Gods of Egypt,"$31,153,464","$119,527,400","$150,680,864",Lionsgate,"$14,123,903","$140,000,000","Feb 26, 2016",PG-13,2 hr 7 min,"Action
    
        Adventure
    
        Fantasy"
Mother's Day,"$32,492,859","$16,289,811","$48,782,670",Open Road Films (II),"$8,369,184","$25,000,000","Apr 29, 2016",PG-13,1 hr 58 min,"Comedy
    
        Drama
    
        Romance"
God's Not Dead,"$60,755,732","$3,912,142","$64,667,874",Freestyle Releasing,"$9,217,013","$2,000,000","Mar 21, 2014",PG,1 hr 53 min,Drama
Inferno,"$34,343,574","$185,677,685","$220,021,259",Sony Pictures Entertainment (SPE),"$14,860,425","$75,000,000","Oct 28, 2016",PG-13,2 hr 1 min,"Action
    
        Adventure
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller"
The 5th Wave,"$34,916,787","$74,989,585","$109,906,372",Sony Pictures Entertainment (SPE),"$10,326,356","$38,000,000","Jan 22, 2016",PG-13,1 hr 52 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller"
Ouija: Origin of Evil,"$35,144,505","$46,561,241","$81,705,746",Universal Pictures,"$14,065,500","$9,000,000","Oct 21, 2016",PG-13,1 hr 39 min,"Drama
    
        Horror
    
        Mystery
    
        Thriller"
Dirty Grandpa,"$35,593,113","$58,479,915","$94,073,028",Lionsgate,"$11,111,875","$25,000,000","Jan 22, 2016",R,1 hr 42 min,Comedy
The Boy,"$35,819,556","$28,368,811","$64,188,367",STX Entertainment,"$10,778,392","$10,000,000","Jan 22, 2016",PG-13,1 hr 37 min,"Horror
    
        Mystery
    
        Thriller"
The Nice Guys,"$36,261,763","$26,526,455","$62,788,218",Warner Bros.,"$11,203,270","$50,000,000","May 20, 2016",R,1 hr 56 min,"Action
    
        Comedy
    
        Crime
    
        Thriller"
Assassin's Creed,"$54,647,948","$186,049,908","$240,697,856",Twentieth Century Fox,"$10,278,225","$125,000,000","Dec 21, 2016",PG-13,1 hr 55 min,"Action
    
        Adventure
    
        Sci-Fi"
Risen,"$36,880,033","$9,552,546","$46,432,579",Sony Pictures Entertainment (SPE),"$11,801,271","$20,000,000","Feb 19, 2016",PG-13,1 hr 47 min,"Action
    
        Drama
    
        History
    
        Mystery"
Sisters,"$87,044,645","$17,966,408","$105,011,053",Universal Pictures,"$13,922,855","$30,000,000","Dec 18, 2015",R,1 hr 58 min,Comedy
Nerve,"$38,583,626","$46,667,799","$85,251,425",Lionsgate,"$9,445,456","$19,000,000","Jul 27, 2016",PG-13,1 hr 36 min,"Action
    
        Adventure
    
        Crime
    
        Drama
    
        Thriller"
Money Monster,"$41,012,075","$52,270,529","$93,282,604",TriStar Pictures,"$14,788,157","$27,000,000","May 13, 2016",R,1 hr 38 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
Allied,"$40,098,064","$79,421,959","$119,520,023",Paramount Pictures,"$12,701,743","$85,000,000","Nov 23, 2016",R,2 hr 4 min,"Action
    
        Drama
    
        Romance
    
        Thriller
    
        War"
Almost Christmas,"$42,158,780","$422,140","$42,580,920",Universal Pictures,"$15,134,235","$17,000,000","Nov 11, 2016",PG-13,1 hr 51 min,"Comedy
    
        Drama
    
        Romance"
Mike and Dave Need Wedding Dates,"$46,009,673","$31,058,573","$77,068,246",Twentieth Century Fox,"$16,628,170","$33,000,000","Jul 8, 2016",R,1 hr 38 min,"Comedy
    
        Romance"
How to Be Single,"$46,843,513","$65,500,000","$112,343,513",Warner Bros.,"$17,878,911","$38,000,000","Feb 12, 2016",R,1 hr 50 min,"Comedy
    
        Drama
    
        Romance"
Warcraft,"$47,365,290","$391,683,624","$439,048,914",Universal Pictures,"$24,166,110","$160,000,000","Jun 10, 2016",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Fantasy"
The Huntsman: Winter's War,"$48,390,190","$116,599,148","$164,989,338",Universal Pictures,"$19,445,035","$115,000,000","Apr 22, 2016",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy"
Office Christmas Party,"$54,767,494","$59,733,805","$114,501,299",Paramount Pictures,"$16,890,204","$45,000,000","Dec 9, 2016",R,1 hr 45 min,Comedy
13 Hours,"$52,853,219","$16,558,151","$69,411,370",Paramount Pictures,"$16,194,738","$50,000,000","Jan 15, 2016",R,2 hr 24 min,"Action
    
        Drama
    
        History
    
        Thriller
    
        War"
Kubo and the Two Strings,"$48,023,088","$28,226,350","$76,249,438",Focus Features,"$12,608,372","$60,000,000","Aug 19, 2016",PG,1 hr 41 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy"
Burlesque,"$39,440,655","$50,079,118","$89,519,773",Screen Gems,"$11,947,744","$55,000,000","Nov 24, 2010",PG-13,1 hr 59 min,"Drama
    
        Music
    
        Musical
    
        Romance"
