Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Maid in Manhattan,"$94,011,225 ","$60,895,468 ","$154,906,693 ",Revolution Studios,"$18,711,407 ","$55,000,000 ",13-Dec-02,PG-13,1 hr 45 min,"Comedy
    
        Drama
    
        Romance"
Jackass: The Movie,"$64,255,312 ","$15,238,519 ","$79,493,831 ",Paramount Pictures,"$22,763,437 ","$5,000,000 ",25-Oct-02,R,1 hr 25 min,"Action
    
        Comedy
    
        Documentary"
Changing Lanes,"$66,818,548 ","$28,117,216 ","$94,935,764 ",Paramount Pictures,"$17,128,062 ","$45,000,000 ",12-Apr-02,R,1 hr 38 min,"Drama
    
        Thriller"
Catch Me If You Can,"$164,615,351 ","$187,498,961 ","$352,114,312 ",DreamWorks Distribution,"$30,053,627 ","$52,000,000 ",25-Dec-02,PG-13,2 hr 21 min,"Biography
    
        Crime
    
        Drama"
Stuart Little 2,"$64,956,806 ","$105,000,000 ","$169,956,806 ",Sony Pictures Entertainment (SPE),"$15,115,152 ","$120,000,000 ",19-Jul-02,PG,1 hr 17 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
John Q,"$71,756,802 ","$30,487,968 ","$102,244,770 ",New Line Cinema,"$20,275,194 ","$36,000,000 ",15-Feb-02,PG-13,1 hr 56 min,"Crime
    
        Drama
    
        Thriller"
Divine Secrets of the Ya-Ya Sisterhood,"$69,599,016 ","$4,240,224 ","$73,839,240 ",Warner Bros.,"$16,167,412 ","$27,000,000 ",7-Jun-02,PG-13,1 hr 56 min,Drama
Spirit: Stallion of the Cimarron,"$73,280,117 ","$49,283,422 ","$122,563,539 ",DreamWorks Distribution,"$17,770,036 ","$80,000,000 ",24-May-02,G,1 hr 23 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Western"
Insomnia,"$67,355,513 ","$46,359,317 ","$113,714,830 ",Warner Bros.,"$20,930,169 ","$46,000,000 ",24-May-02,R,1 hr 58 min,"Drama
    
        Mystery
    
        Thriller"
Barbershop,"$75,782,105 ","$1,281,819 ","$77,063,924 ",Metro-Goldwyn-Mayer (MGM),"$20,627,433 ","$12,000,000 ",13-Sep-02,PG-13,1 hr 42 min,"Comedy
    
        Drama"
We Were Soldiers,"$78,122,718 ","$36,538,066 ","$114,660,784 ",Paramount Pictures,"$20,212,543 ","$75,000,000 ",1-Mar-02,R,2 hr 18 min,"Action
    
        Drama
    
        History
    
        War"
Blade II,"$82,348,319 ","$72,661,713 ","$155,010,032 ",New Line Cinema,"$32,528,016 ","$54,000,000 ",22-Mar-02,R,1 hr 57 min,"Action
    
        Horror
    
        Sci-Fi
    
        Thriller"
Snow Dogs,"$81,172,560 ","$33,862,530 ","$115,035,090 ",Walt Disney Studios Motion Pictures,"$17,814,259 ","$33,000,000 ",18-Jan-02,PG,1 hr 39 min,"Adventure
    
        Comedy
    
        Family
    
        Sport"
Spy Kids 2: Island of Lost Dreams,"$85,846,429 ","$33,876,929 ","$119,723,358 ",Dimension Films,"$16,711,716 ","$38,000,000 ",7-Aug-02,PG,1 hr 40 min,"Action
    
        Adventure
    
        Comedy
    
        Family
    
        Sci-Fi"
Red Dragon,"$93,149,898 ","$116,046,400 ","$209,196,298 ",Universal Pictures,"$36,540,945 ","$78,000,000 ",4-Oct-02,R,2 hr 4 min,"Crime
    
        Drama
    
        Thriller"
The Scorpion King,"$91,047,077 ","$87,752,231 ","$178,799,308 ",Universal Pictures,"$36,075,875 ","$60,000,000 ",19-Apr-02,PG-13,1 hr 32 min,"Action
    
        Adventure
    
        Fantasy"
